timestamp(ms),Air Temp,
"1741877161.96","26.68",
"1741877162.961","26.7",
"1741877163.962","26.69",
"1741877164.963","26.69",
"1741877165.976","26.69",
"1741877166.966","26.69",
"1741877167.966","26.7",
"1741877168.967","26.7",
"1741877169.968","26.69",
"1741877170.969","26.68",
"1741877171.977","26.7",
"1741877172.971","26.7",
"1741877173.972","26.71",
"1741877174.973","26.73",
"1741877175.974","26.72",
"1741877176.975","26.7",
"1741877177.982","26.69",
"1741877178.977","26.7",
"1741877179.978","26.71",
"1741877180.979","26.71",
"1741877181.98","26.71",
"1741877182.982","26.71",
"1741877183.994","26.71",
"1741877184.989","26.7",
"1741877185.984","26.69",
"1741877186.985","26.71",
"1741877187.986","26.7",
"1741877188.987","26.72",
"1741877189.995","26.73",
"1741877190.989","26.71",
"1741877191.99","26.7",
"1741877192.991","26.7",
"1741877193.992","26.7",
"1741877194.993","26.71",
"1741877195.994","26.7",
"1741877196.995","26.73",
"1741877197.996","26.71",
"1741877198.999","26.71",
"1741877199.999","26.7",
"1741877200.999","26.72",
"1741877202","26.71",
"1741877203.002","26.71",
"1741877204.002","26.73",
"1741877205.003","26.71",
"1741877206.004","26.7",
"1741877207.005","26.71",
"1741877208.012","26.71",
"1741877209.007","26.71",
"1741877210.008","26.72",
"1741877211.009","26.74",
"1741877212.01","26.71",
"1741877213.011","26.71",
"1741877214.012","26.73",
"1741877215.013","26.71",
"1741877216.015","26.72",
"1741877217.016","26.69",
"1741877218.016","26.72",
"1741877219.017","26.69",
"1741877220.028","26.7",
"1741877221.026","26.69",
"1741877222.02","26.72",
"1741877223.021","26.72",
"1741877224.023","26.72",
"1741877225.023","26.7",
"1741877226.024","26.7",
"1741877227.027","26.7",
"1741877228.028","26.74",
"1741877229.028","26.73",
"1741877230.029","26.71",
"1741877231.03","26.69",
"1741877232.045","26.71",
"1741877233.043","26.72",
"1741877234.033","26.73",
"1741877235.034","26.73",
"1741877236.036","26.75",
"1741877237.037","26.71",
"1741877238.045","26.72",
"1741877239.038","26.73",
"1741877240.039","26.71",
"1741877241.04","26.73",
"1741877242.042","26.73",
"1741877243.042","26.73",
"1741877244.044","26.71",
"1741877245.045","26.71",
"1741877246.072","26.73",
"1741877247.047","26.74",
"1741877248.049","26.73",
"1741877249.05","26.72",
"1741877250.058","26.73",
"1741877251.064","26.73",
"1741877252.051","26.74",
"1741877253.053","26.71",
"1741877254.054","26.71",
"1741877255.055","26.72",
"1741877256.059","26.72",
"1741877257.063","26.71",
"1741877258.058","26.71",
"1741877259.059","26.73",
"1741877260.06","26.71",
"1741877261.061","26.73",
"1741877262.073","26.7",
"1741877263.063","26.73",
"1741877264.064","26.73",
"1741877265.066","26.73",
"1741877266.066","26.74",
"1741877267.067","26.71",
"1741877268.079","26.74",
"1741877269.069","26.74",
"1741877270.07","26.7",
"1741877271.071","26.73",
"1741877272.072","26.75",
"1741877273.073","26.74",
"1741877274.074","26.73",
"1741877275.075","26.74",
"1741877276.076","26.74",
"1741877277.077","26.73",
"1741877278.078","26.75",
"1741877279.079","26.74",
"1741877280.095","26.73",
"1741877281.081","26.75",
"1741877282.082","26.73",
"1741877283.083","26.73",
"1741877284.084","26.72",
"1741877285.085","26.74",
"1741877286.086","26.76",
"1741877287.09","26.74",
"1741877288.089","26.71",
"1741877289.09","26.74",
"1741877290.091","26.73",
"1741877291.092","26.72",
"1741877292.109","26.74",
"1741877293.094","26.73",
"1741877294.095","26.74",
"1741877295.095","26.75",
"1741877296.096","26.73",
"1741877297.098","26.73",
"1741877298.106","26.71",
"1741877299.113","26.73",
"1741877300.115","26.73",
"1741877301.102","26.73",
"1741877302.103","26.73",
"1741877303.104","26.75",
"1741877304.116","26.74",
"1741877305.111","26.72",
"1741877306.107","26.74",
"1741877307.108","26.74",
"1741877308.109","26.73",
"1741877309.11","26.75",
"1741877310.121","26.73",
"1741877311.112","26.74",
"1741877312.113","26.74",
"1741877313.114","26.73",
"1741877314.115","26.73",
"1741877315.116","26.77",
"1741877316.117","26.75",
"1741877317.127","26.75",
"1741877318.119","26.75",
"1741877319.121","26.75",
"1741877320.121","26.74",
"1741877321.122","26.75",
"1741877322.123","26.74",
"1741877323.125","26.75",
"1741877324.125","26.74",
"1741877325.126","26.74",
"1741877326.127","26.74",
"1741877327.128","26.73",
"1741877328.129","26.75",
"1741877329.13","26.72",
"1741877330.136","26.77",
"1741877331.132","26.74",
"1741877332.133","26.74",
"1741877333.134","26.73",
"1741877334.143","26.76",
"1741877335.136","26.74",
"1741877336.137","26.72",
"1741877337.138","26.73",
"1741877338.139","26.74",
"1741877339.14","26.76",
"1741877340.141","26.74",
"1741877341.145","26.75",
"1741877342.143","26.73",
"1741877343.144","26.76",
"1741877344.145","26.75",
"1741877345.146","26.74",
"1741877346.16","26.75",
"1741877347.153","26.76",
"1741877348.15","26.75",
"1741877349.151","26.75",
"1741877350.152","26.74",
"1741877351.153","26.74",
"1741877352.166","26.74",
"1741877353.16","26.75",
"1741877354.156","26.75",
"1741877355.157","26.77",
"1741877356.158","26.77",
"1741877357.159","26.76",
"1741877358.177","26.77",
"1741877359.161","26.76",
"1741877360.162","26.75",
"1741877361.163","26.77",
"1741877362.164","26.74",
"1741877363.166","26.75",
"1741877364.179","26.77",
"1741877365.173","26.77",
"1741877366.168","26.77",
"1741877367.169","26.74",
"1741877368.17","26.78",
"1741877369.171","26.75",
"1741877370.178","26.76",
"1741877371.173","26.76",
"1741877372.174","26.77",
"1741877373.175","26.75",
"1741877374.176","26.74",
"1741877375.177","26.73",
"1741877376.178","26.75",
"1741877377.179","26.76",
"1741877378.18","26.77",
"1741877379.181","26.75",
"1741877380.182","26.76",
"1741877381.183","26.74",
"1741877382.196","26.78",
"1741877383.202","26.74",
"1741877384.186","26.76",
"1741877385.187","26.79",
"1741877386.188","26.76",
"1741877387.189","26.77",
"1741877388.19","26.77",
"1741877389.194","26.78",
"1741877390.192","26.77",
"1741877391.193","26.77",
"1741877392.194","26.77",
"1741877393.195","26.76",
"1741877394.196","26.76",
"1741877395.203","26.77",
"1741877396.199","26.77",
"1741877397.199","26.76",
"1741877398.2","26.77",
"1741877399.201","26.77",
"1741877400.202","26.77",
"1741877401.203","26.77",
"1741877402.204","26.79",
"1741877403.205","26.75",
"1741877404.206","26.78",
"1741877405.207","26.75",
"1741877406.223","26.77",
"1741877407.209","26.76",
"1741877408.211","26.78",
"1741877409.212","26.78",
"1741877410.213","26.79",
"1741877411.214","26.79",
"1741877412.228","26.76",
"1741877413.216","26.76",
"1741877414.217","26.76",
"1741877415.218","26.78",
"1741877416.219","26.78",
"1741877417.22","26.76",
"1741877418.227","26.76",
"1741877419.226","26.78",
"1741877420.223","26.8",
"1741877421.224","26.77",
"1741877422.225","26.79",
"1741877423.23","26.78",
"1741877424.237","26.79",
"1741877425.228","26.76",
"1741877426.229","26.77",
"1741877427.23","26.77",
"1741877428.232","26.77",
"1741877429.232","26.79",
"1741877430.233","26.76",
"1741877431.245","26.76",
"1741877432.235","26.76",
"1741877433.236","26.75",
"1741877434.237","26.79",
"1741877435.238","26.78",
"1741877436.253","26.78",
